Health: 184.000000, Speed: 0.416063, Firerate: 3.329737
Health: 166.000000, Speed: 0.422106, Firerate: 3.652168
Health: 200.000000, Speed: 0.418322, Firerate: 3.368233
Health: 182.000000, Speed: 0.388078, Firerate: 2.775582
Health: 199.000000, Speed: 0.414316, Firerate: 3.879598
Health: 192.000000, Speed: 0.427950, Firerate: 3.471246
Health: 172.000000, Speed: 0.410006, Firerate: 2.853044
Health: 198.000000, Speed: 0.391397, Firerate: 4.000000
Health: 184.000000, Speed: 0.422671, Firerate: 3.742726
Health: 178.000000, Speed: 0.305113, Firerate: 3.555480
Health: 191.000000, Speed: 0.425784, Firerate: 3.506729
Health: 200.000000, Speed: 0.417925, Firerate: 3.625614
Health: 170.000000, Speed: 0.437381, Firerate: 3.565862
Health: 200.000000, Speed: 0.428668, Firerate: 3.295770
Health: 200.000000, Speed: 0.409075, Firerate: 4.000000
Health: 194.000000, Speed: 0.287680, Firerate: 2.329032
Health: 180.000000, Speed: 0.287413, Firerate: 3.331468
Health: 182.000000, Speed: 0.200000, Firerate: 3.220872
Health: 200.000000, Speed: 0.351044, Firerate: 2.748387
Health: 200.000000, Speed: 0.482372, Firerate: 3.162188
Health: 190.000000, Speed: 0.389833, Firerate: 3.295770
Health: 200.000000, Speed: 0.439509, Firerate: 3.144841
Health: 170.000000, Speed: 0.367997, Firerate: 3.683401
Health: 174.000000, Speed: 0.345962, Firerate: 3.837492
Health: 200.000000, Speed: 0.475735, Firerate: 2.748857
Health: 181.000000, Speed: 0.308562, Firerate: 2.835527
Health: 184.000000, Speed: 0.405901, Firerate: 3.818351
Health: 200.000000, Speed: 0.441699, Firerate: 3.818351
Health: 200.000000, Speed: 0.357102, Firerate: 3.850331
Health: 180.000000, Speed: 0.414354, Firerate: 3.632173
Health: 182.000000, Speed: 0.200000, Firerate: 2.923563
Health: 200.000000, Speed: 0.426089, Firerate: 3.295770
Health: 186.000000, Speed: 0.408907, Firerate: 3.496475
Health: 195.000000, Speed: 0.426348, Firerate: 3.200897
Health: 195.000000, Speed: 0.403413, Firerate: 3.295770
Health: 179.000000, Speed: 0.287504, Firerate: 3.359752
Health: 197.000000, Speed: 0.442477, Firerate: 3.199274
Health: 186.000000, Speed: 0.445224, Firerate: 3.260158
Health: 169.000000, Speed: 0.414980, Firerate: 3.202927
Health: 196.000000, Speed: 0.474300, Firerate: 3.365264
Health: 174.000000, Speed: 0.443034, Firerate: 3.554668
Health: 200.000000, Speed: 0.366120, Firerate: 3.487588
Health: 185.000000, Speed: 0.428164, Firerate: 2.756377
Health: 184.000000, Speed: 0.409426, Firerate: 3.412305
Health: 183.000000, Speed: 0.444751, Firerate: 3.402884
Health: 200.000000, Speed: 0.360306, Firerate: 2.907798
Health: 177.000000, Speed: 0.330383, Firerate: 3.295770
Health: 191.000000, Speed: 0.356552, Firerate: 3.210212
